TF	Total genes	Activados	Reprimidos	Genes	Tipo
ATP-dependent RNA helicase DeaD	3	3	0	mntR, sdiA, uvrY	activador
AaeR	3	3	0	aaeA, aaeB, aaeX	activador
AccB	2	0	2	accB, accC	represor
AcnB	1	1	0	acnB	activador
AcrR	15	0	15	acrA, acrB, acrR, flhC, flhD, marA, marB, marR, mdtI, mdtJ, mdtU, micF, puuA, soxR, soxS	represor
Ada	2	2	0	aidB, alkA	activador
AdiY	8	8	0	adiA, gadA, gadB, gadC, gadX, gltB, gltD, gltF	activador
AgaR	11	0	11	agaA, agaB, agaC, agaD, agaI, agaR, agaS, agaV, agaW, kbaY, kbaZ	represor
AgrB	1	0	1	dinQ	represor
AidB	1	0	1	aidB	represor
AlaS	1	0	1	alaS	represor
AllR	9	0	9	allA, allB, allS, allW, gcl, glxK, glxR, hyi, ybbY	represor
AllS	3	3	0	allC, allD, allE	activador
AlpA	3	1	2	intA, phoB, phoR	dual
AlsR	6	0	6	alsA, alsB, alsC, alsE, alsR, rpiB	represor
AmeF	2	2	0	mazE, mazF	activador
AppY	10	10	0	appA, appB, appC, appX, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF	activador
AraC	15	6	9	araE, araF, araG, araH, araJ, xylA, xylB, xylZ, ydeM, ydeN, ygeA, yjfF, ytfQ, ytfR, ytfT	dual
ArcA	226	72	154	aceA, aceB, aceE, aceF, aceK, ackA, acnA, acnB, acpP, aldA, appA, appB, appC, appX, appY, arcA, arcZ, argR, argT, betA, betB, betI, betT, cadA, cadB, caiA, caiB, caiC, caiD, caiE, caiT, carA, citC, citD, citE, citF, citG, citX, cycA, cydA, cydB, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, dctA, dcuA, dcuB, dcuC, dpiA, dpiB, dppA, dsbB, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, feoA, fnr, folE, fumA, fumB, fumC, gadA, gadE, gadF, gadX, gatA, gatB, gatC, gatD, gatY, gatZ, gcvB, glaH, glcA, glcB, glcC, glcD, glcE, glcF, glcG, glpA, glpB, glpC, glpD, glpE, gltA, grcA, hemA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, hybO, icd, igaA, iraM, kdpA, kgtP, lldD, lldP, lldR, lpd, manA, mdh, micF, moeA, moeB, mqo, msrB, ndh, ndk, nudE, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nupC, ompW, oppB, oppC, oppD, oppF, osmY, pepN, pflB, phoH, pldA, pncB, pntA, potF, pqqU, prfA, prmC, ptsG, putA, putP, puuA, puuB, puuC, puuD, puuE, puuP, puuR, pyrS, rhaT, rho, rmf, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpoS, rpsC, rpsJ, rpsQ, rpsS, rsd, rstA, rutA, rutB, rutC, rutD, rutE, rutF, rutG, sodA, sroD, ssb, sstT, sthA, thiC, thrA, tpx, treB, treC, ubiA, ubiC, uvrA, xthA, xylR, ybdN, ybfA, ybiU, ydeA, ydgC, yeiQ, yejG, yfiF, yhgE, yhjE, yieE, yigI, yjiR, ymjE, ynaJ, yncE	dual
ArcZ	6	1	5	eptB, flhC, flhD, lrhA, mutS, rpoS	dual
ArgP	15	14	1	argO, argP, asd, dapB, dapD, dnaA, dnaN, gdhA, lysA, lysC, lysP, nrdA, nrdB, recF, yfaE	dual
ArgR	64	13	51	argA, argB, argC, argD, argE, argF, argG, argH, argI, argR, aroK, aroP, artI, artJ, artM, artP, artQ, astA, astB, astC, astD, astE, carA, carB, cvpA, dacC, dps, eutS, ftsZ, gltB, gltD, gltF, gltP, hchA, hisJ, hisL, hisM, hisP, hisQ, infB, lrp, lysO, mcaS, metY, mukE, nusA, pfkB, pnp, potF, puuB, pyrL, rbfA, rimP, rpsO, stpA, truB, waaA, yaaU, ydgI, yfcC, yffB, yhcC, ykgA, yraQ	dual
ArrS	3	3	0	cfa, gadE, gadF	activador
ArsR	3	0	3	arsB, arsC, arsR	represor
AscG	5	0	5	ascB, ascF, htpG, prpR, ybiT	represor
AsflhD	1	0	1	flhD	represor
AsnC	4	1	3	asnA, asnC, mioC, mnmG	dual
AtoC	4	4	0	atoA, atoB, atoD, atoE	activador
AzuR	2	0	2	cadA, galE	represor
BaeR	9	9	0	acrD, baeR, baeS, mdtA, mdtB, mdtC, mdtD, spy, ycaC	activador
BasR	26	24	2	arnA, arnB, arnC, arnD, arnE, arnF, arnT, csgD, csgE, csgF, csgG, cspI, dgkA, emrD, eptA, fimB, glpA, glpB, glpC, hha, putA, qseB, qseC, tomB, waaH, yrbL	dual
BetI	4	0	4	betA, betB, betI, betT	represor
BirA	5	0	5	bioA, bioB, bioC, bioD, bioF	represor
BluR	4	0	4	ariR, ycgZ, ymgA, ymgC	represor
BolA	9	6	3	csgA, csgD, csgE, csgF, csgG, fimH, mreB, mreC, mreD	dual
BtsR	15	1	14	aceE, aceF, btsT, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspC, lpd, mdh, pdhR, yobF	dual
C0293	3	0	3	fadR, hcaR, iroK	represor
